,Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,0,2020,MI,FT,Data Scientist,67900.0,USD,79833,Germany,0,Germany,L
1,1,2020,SE,FT,Machine Learning Scientist,260000.0,USD,260000,Japan,0,Japan,S
2,2,2020,SE,FT,Big Data Engineer,94350.00000000001,USD,109024,United Kingdom of Great Britain and Northern Ireland,50,United Kingdom of Great Britain and Northern Ireland,M
3,3,2020,MI,FT,Product Data Analyst,20000.0,USD,20000,Honduras,0,Honduras,S
4,4,2020,SE,FT,Machine Learning Engineer,150000.0,USD,150000,United States of America,50,United States of America,L
5,5,2020,EN,FT,Data Analyst,72000.0,USD,72000,United States of America,100,United States of America,L
6,6,2020,SE,FT,Lead Data Scientist,190000.0,USD,190000,United States of America,100,United States of America,S
7,7,2020,MI,FT,Data Scientist,25300.0,USD,35735,Hungary,50,Hungary,L
8,8,2020,MI,FT,Business Data Analyst,135000.0,USD,135000,United States of America,100,United States of America,L
9,9,2020,SE,FT,Lead Data Engineer,125000.0,USD,125000,New Zealand,50,New Zealand,S
10,10,2020,EN,FT,Data Scientist,43650.0,USD,51321,France,0,France,S
11,11,2020,MI,FT,Data Scientist,36000.0,USD,40481,India,0,India,L
12,12,2020,EN,FT,Data Scientist,33950.0,USD,39916,France,0,France,M
13,13,2020,MI,FT,Lead Data Analyst,87000.0,USD,87000,United States of America,100,United States of America,L
14,14,2020,MI,FT,Data Analyst,85000.0,USD,85000,United States of America,100,United States of America,L
15,15,2020,MI,FT,Data Analyst,8000.0,USD,8000,Pakistan,50,Pakistan,L
16,16,2020,EN,FT,Data Engineer,30260.0,USD,41689,Japan,100,Japan,S
17,17,2020,SE,FT,Big Data Engineer,97000.0,USD,114047,Poland,100,United Kingdom of Great Britain and Northern Ireland,S
18,18,2020,EN,FT,Data Science Consultant,5076.0,USD,5707,India,50,India,M
19,19,2020,MI,FT,Lead Data Engineer,56000.0,USD,56000,Portugal,100,United States of America,M
20,20,2020,MI,FT,Machine Learning Engineer,41860.00000000001,USD,43331,China,0,China,M
21,21,2020,MI,FT,Product Data Analyst,5400.0,USD,6072,India,100,India,L
