,work_year,employee_residence,salary,salary_in_usd,remote_ratio
1,2020,Canada,157000.0,117104.0,50.0
12,2020,Japan,2355000.0,150844.5,50.0
21,2020,Russian Federation,60000.0,60000.0,100.0
24,2020,United Kingdom of Great Britain and Northern Ireland,77666.66666666667,99618.0,66.66666666666667
25,2020,United States of America,157462.0,157462.0,86.0
29,2021,Canada,127222.22222222222,101475.33333333331,83.33333333333333
43,2021,Japan,3935500.0,95768.75,37.5
57,2021,Russian Federation,157500.0,157500.0,25.0
64,2021,United Kingdom of Great Britain and Northern Ireland,63029.66666666666,83420.5,58.333333333333336
65,2021,United States of America,155562.3563218391,155562.3563218391,77.01149425287356
73,2022,Canada,103378.94736842104,93952.2105263158,73.6842105263158
80,2022,Japan,40000.0,40000.0,100.0
86,2022,Russian Federation,48000.0,48000.0,100.0
91,2022,United Kingdom of Great Britain and Northern Ireland,60120.68965517241,78684.10344827586,37.93103448275862
92,2022,United States of America,146657.8909090909,145736.23636363636,76.36363636363636
